,Customer,clust,State,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Location Code,Marital Status,Policy Type,Policy,Renew Offer Type,Sales Channel,Vehicle Class,Vehicle Size,Customer Lifetime Value,Income,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Total Claim Amount
51,PY51963,3,1,1,0,0,23,1,0,1,0,0,0,0,3,3,1,0.3877730598689076,0.33196307298386696,0.189873417721519,0.5142857142857142,0.9595959595959596,0.0,0.125,0.17583002378663115
52,RB69909,2,2,0,0,3,37,1,0,0,1,2,6,3,1,0,1,0.07473437704433614,0.36020843960352467,0.03375527426160337,0.11428571428571428,0.40404040404040403,0.6,0.125,0.060092848834725744
53,XR95069,2,4,0,0,0,31,1,1,1,2,1,5,3,0,0,1,0.03631135161759,0.2983966953721207,0.012658227848101266,0.5428571428571428,0.4444444444444444,0.0,0.25,0.10614796441745504
54,FR46645,1,1,0,2,0,5,0,1,1,1,1,4,0,1,0,2,0.02942486710023414,0.16704173793020674,0.21940928270042195,0.5714285714285714,0.26262626262626265,0.0,0.0,0.28741325312487714
55,SY17488,0,0,0,1,1,50,1,0,1,0,0,2,2,2,0,2,0.06467589019102847,0.46631860053410146,0.12658227848101267,0.02857142857142857,0.5353535353535354,0.0,0.25,0.1509435740119254
56,AP67935,2,1,0,0,1,28,1,1,2,1,2,7,1,1,0,1,0.0702651685547247,0.647613046478831,0.012658227848101266,0.6857142857142857,0.5959595959595959,0.0,0.125,0.10454596488578415
57,FS37417,2,0,0,0,3,39,4,0,1,1,1,4,0,2,3,2,0.025298558200707796,0.0,0.16877637130801687,0.8285714285714286,0.12121212121212122,0.0,0.0,0.1675345405283959
58,ML29312,3,3,0,1,3,17,0,0,1,0,1,5,0,2,3,1,0.031948538491429694,0.16972224722697313,0.26582278481012656,0.9714285714285714,0.47474747474747475,0.4,0.0,0.24356544811781808
59,UB61619,0,3,0,2,4,44,0,0,1,0,1,3,0,0,0,1,0.026545861000930017,0.11623208409597824,0.19831223628691982,0.11428571428571428,0.98989898989899,0.0,0.0,0.17914821708992523
60,CD86811,2,0,1,0,0,27,3,1,1,0,1,3,0,0,0,1,0.03144035701370614,0.1762534881627509,0.016877637130801686,0.02857142857142857,0.36363636363636365,0.2,0.25,0.1078070610691021
61,RU83859,1,1,0,2,0,11,2,0,1,1,1,5,0,2,5,2,0.07629283858524072,0.11491183324831718,0.18565400843881857,0.11428571428571428,0.5050505050505051,0.0,0.625,0.1741709271349841
62,FG63582,1,3,0,1,0,3,4,1,1,2,1,5,0,0,5,2,0.017706050628470894,0.0,0.13924050632911392,0.5714285714285714,0.5353535353535354,0.0,0.0,0.29837066882117047
63,NN71951,3,1,0,0,3,16,1,0,0,1,1,5,0,0,3,1,0.27463749755947164,0.6653764215200888,0.16455696202531644,0.0,0.8686868686868687,0.0,0.125,0.03602740407502294
64,WB37082,1,0,0,0,0,12,4,0,1,2,1,5,2,1,0,0,0.05791622367791658,0.0,0.008438818565400843,0.6,0.2828282828282828,0.0,0.125,0.23375720433470756
65,SM52139,3,4,0,0,1,20,1,1,1,1,1,5,2,3,0,1,0.012682293722881353,0.3366939718546524,0.05063291139240506,0.8285714285714286,0.7171717171717171,0.0,0.0,0.12107983428227849
66,FL82372,1,3,0,0,1,15,1,0,1,0,0,2,0,0,3,1,0.08319298909662248,0.2255128474410138,0.21518987341772153,0.2,0.6060606060606061,0.0,0.25,0.18578460369651345
67,DP45816,3,0,0,1,3,21,1,0,2,1,1,5,3,1,5,2,0.11962391962950446,0.6149768456006641,0.1518987341772152,0.14285714285714285,0.6565656565656566,0.0,0.125,0.1607801658808453
68,GW33762,3,3,1,1,0,16,4,0,1,0,1,5,0,2,5,0,0.0607675580631185,0.0,0.14345991561181434,0.37142857142857144,0.20202020202020202,0.0,0.5,0.1575799606185136
69,RZ33670,0,1,0,2,1,57,0,0,1,1,1,5,2,3,0,1,0.12071823492119915,0.2988467808883688,0.1729957805907173,0.4857142857142857,0.0,0.0,0.125,0.1728762216830348
70,PY70169,0,3,0,0,3,40,1,1,0,0,1,5,3,0,3,1,0.25477706340581335,0.9302867544833519,0.21940928270042195,0.4857142857142857,0.12121212121212122,0.0,0.125,0.09724796233387159
71,MO91628,3,3,0,0,4,24,1,1,0,1,1,4,1,3,5,0,0.008798842441700733,0.651983876936618,0.016877637130801686,0.8285714285714286,0.2727272727272727,0.0,0.0,0.0018441889305561524
72,HW87852,2,3,0,0,4,26,2,1,1,1,1,3,0,0,0,1,0.0068004774819120616,0.2684510056910813,0.012658227848101266,0.02857142857142857,0.47474747474747475,0.4,0.0,0.10614796441745504
73,HB20453,0,3,0,0,0,48,4,1,1,2,1,5,0,0,4,1,0.05997077293792902,0.0,0.18143459915611815,0.8571428571428571,0.030303030303030304,0.2,0.5,0.33952742631780586
74,BN87372,1,3,1,0,0,6,1,1,1,0,1,5,1,1,5,1,0.03778574367787037,0.7565837509126734,0.016877637130801686,0.14285714285714285,0.6868686868686869,0.6,1.0,0.16165983067748316
75,YX23800,3,3,0,0,0,24,1,1,1,1,1,5,1,1,0,2,0.08220328089996605,0.3899140836758984,0.05063291139240506,0.7714285714285715,0.3838383838383838,0.0,0.125,0.12107983428227849
76,DZ87709,1,3,0,0,3,8,1,0,0,2,1,3,1,2,0,1,0.045367467444095914,0.7182464668286974,0.04219409282700422,0.4857142857142857,0.48484848484848486,0.0,0.625,0.010001294886915646
77,XW13033,2,2,0,0,1,30,1,1,1,1,1,3,1,0,0,1,0.07505418502629448,0.209649833468359,0.02531645569620253,0.5714285714285714,0.3333333333333333,0.0,0.125,0.1111252543723962
78,LN31673,0,4,0,1,1,52,1,1,0,1,1,5,0,0,0,1,0.1156869212202294,0.3893039677538732,0.16033755274261605,0.17142857142857143,0.8383838383838383,0.4,0.125,0.039966893472909874
79,OM82309,0,1,0,0,0,43,1,1,0,2,1,5,1,1,1,2,0.6910273954081865,0.6133265320410878,0.5274261603375527,0.0,0.30303030303030304,0.2,0.125,0.14777442634762228
80,ZU35962,3,1,0,1,1,15,4,0,0,2,1,5,2,1,5,0,0.07524768905718524,0.0,0.06751054852320675,0.5714285714285714,0.26262626262626265,0.0,0.125,0.008886079497515038
81,VH85817,0,1,1,0,3,42,1,1,1,2,1,5,1,2,0,1,0.04767652884302909,0.5107570438383293,0.05485232067510549,0.6571428571428571,0.0,0.0,0.875,0.272331834361745
82,DT85712,3,1,0,0,2,16,1,1,1,1,1,3,2,1,3,1,0.0272700855025239,0.3438453306128164,0.1729957805907173,0.34285714285714286,0.5454545454545454,0.0,0.0,0.16919363718004296
83,YJ88573,1,2,0,0,4,4,1,1,1,1,1,5,1,2,0,0,0.007676318761342034,0.43080185235194685,0.008438818565400843,1.0,0.15151515151515152,0.0,0.0,0.10448886776580799
84,SQ19467,3,3,0,1,1,16,0,0,1,2,1,5,1,0,0,2,0.057182351830889704,0.25226793090687233,0.12236286919831224,0.8,0.696969696969697,0.0,0.25,0.16436264187445726
85,HF88410,0,4,0,0,3,44,1,1,1,1,1,4,0,2,0,1,0.07129530731984829,0.3677198667746872,0.02109704641350211,0.42857142857142855,0.32323232323232326,0.2,0.125,0.11086569976189035
86,ET79815,1,1,1,1,1,14,3,1,1,1,1,3,0,0,0,1,0.04947625755432056,0.2309538812374351,0.14767932489451477,0.8,0.9090909090909091,1.0,0.5,0.15923905727016066
87,QC35222,1,1,0,0,0,0,1,0,2,1,0,1,2,3,0,1,0.009646178773717994,0.4827817285284204,0.03375527426160337,0.08571428571428572,0.797979797979798,0.6,0.0,0.09748997096035086
88,CJ15590,1,3,0,0,0,8,1,0,1,0,1,4,2,1,0,1,0.00979000930016673,0.32726217981416467,0.02531645569620253,0.37142857142857144,0.12121212121212122,0.0,0.0,0.1111252543723962
89,OI48267,2,1,1,1,1,34,1,1,1,1,1,5,0,1,0,1,0.05095359589654082,0.20399875976435522,0.06329113924050633,0.42857142857142855,0.6060606060606061,0.2,0.375,0.12605712423721965
90,JY67916,3,3,0,2,1,16,2,1,1,1,1,5,1,1,5,2,0.1384424507186562,0.21517088246766886,0.24472573839662448,0.6,0.8181818181818182,0.2,0.125,0.23494487904214317
91,OE75231,0,4,1,1,0,43,1,0,1,1,0,2,1,2,5,1,0.1075667051128267,0.7255378521919165,0.11392405063291139,0.2,0.030303030303030304,0.0,0.125,0.21832468719250875
92,CZ33664,1,3,0,0,0,5,1,0,0,1,0,2,0,0,0,1,0.007732609978928166,0.8075934427541233,0.008438818565400843,0.6857142857142857,0.8484848484848485,0.0,0.0,0.004071710068604541
93,WK30175,3,3,0,0,0,22,1,1,1,1,0,0,0,1,5,2,0.009506484706367236,0.5283203808723658,0.02531645569620253,0.6571428571428571,0.8888888888888888,0.0,0.0,0.121124433911081
94,ON44465,1,1,0,1,3,13,4,0,1,2,1,4,0,0,0,1,0.04194273022168472,0.0,0.06751054852320675,0.22857142857142856,0.10101010101010101,0.2,1.0,0.2983939570078374
95,TV87155,0,3,0,0,0,40,1,0,1,1,1,5,0,1,0,0,0.2339285182947854,0.6975125273802022,0.05485232067510549,0.05714285714285714,0.26262626262626265,0.2,0.125,0.1700672663213202
96,KH48895,2,0,0,0,4,30,2,0,0,1,1,5,0,1,3,1,0.07954752774638849,0.17783378841979977,0.20253164556962025,0.34285714285714286,0.18181818181818182,0.0,1.0,0.04579427551796357
97,NZ30757,2,1,0,0,0,31,2,1,1,1,1,4,0,0,0,1,0.03565943125336235,0.18110440983786918,0.004219409282700422,0.8285714285714286,0.1111111111111111,0.0,0.875,0.10282977111416096
98,RI22468,1,0,0,0,0,11,1,0,2,1,1,3,2,3,0,1,0.04725604546597784,0.5775097268481011,0.05485232067510549,0.8571428571428571,0.8787878787878788,0.6,1.0,0.09325717366751574
99,FZ30935,0,3,0,1,1,41,1,1,1,1,1,4,0,0,5,2,0.05118804787719427,0.3263320030805853,0.06329113924050633,0.3142857142857143,0.6060606060606061,0.0,0.75,0.13132361444031562
100,UG93476,3,1,1,0,1,23,4,0,1,1,1,5,0,0,3,1,0.07496619864418821,0.0,0.1940928270042194,0.08571428571428572,0.6565656565656566,0.0,0.25,0.1774891204382782
101,AB96670,3,1,1,0,1,20,4,1,1,2,1,3,0,1,0,1,0.0060901840817528885,0.0,0.0379746835443038,0.6857142857142857,0.10101010101010101,0.0,0.0,0.14695700947477364
102,XK64261,3,3,0,0,0,25,1,1,0,2,0,2,2,2,5,1,0.035182397532105884,0.6580750342565087,0.004219409282700422,0.05714285714285714,0.8585858585858586,0.2,0.25,0.01690622667963593
103,EV68375,2,1,1,2,1,31,1,1,1,1,1,5,1,1,0,1,0.029871752458673174,0.6048649243356238,0.1940928270042194,0.2571428571428571,0.18181818181818182,0.0,0.0,0.1774891204382782
104,UN51653,0,1,0,1,3,58,4,0,1,2,1,5,0,3,3,1,0.09216460963974886,0.0,0.2911392405063291,0.8,0.8888888888888888,0.0,0.375,0.3234896257832186
105,TO96662,1,3,0,1,0,7,1,0,0,1,1,5,0,2,0,2,0.062247947258992464,0.41844950540602716,0.11392405063291139,0.8285714285714286,0.9393939393939394,0.0,1.0,0.0490690834438171
106,MR52087,0,1,0,0,0,47,1,0,0,1,1,3,2,1,0,1,0.0711806898319309,0.3230913873635991,0.016877637130801686,0.37142857142857144,0.3434343434343434,0.0,0.125,0.015572527962986145
107,DE75225,0,3,0,0,3,57,4,1,1,1,1,3,0,0,3,1,0.0837501343788738,0.0,0.23628691983122363,0.14285714285714285,0.898989898989899,0.2,0.25,0.19408008695474868
108,EP80820,3,1,0,0,0,16,1,0,0,1,1,5,0,0,5,1,0.04950105448578032,0.40538702353447154,0.05485232067510549,0.4857142857142857,0.32323232323232326,0.0,1.0,0.010531236972127166
109,GU99037,2,3,0,0,1,29,1,1,2,1,0,0,3,0,0,1,0.006815516564558812,0.7991318350486593,0.004219409282700422,0.14285714285714285,0.8686868686868687,0.2,0.0,0.09384534762568413
110,WI57118,0,1,0,1,1,43,1,1,1,1,1,5,3,0,0,2,0.05899200446536717,0.5640871765635471,0.10126582278481013,0.11428571428571428,0.18181818181818182,0.0,0.75,0.1409889941020431
111,YQ74870,2,4,0,1,3,26,1,1,1,0,0,1,1,3,0,2,0.06948809007032113,0.35263700103019574,0.15611814345991562,0.45714285714285713,0.020202020202020204,0.2,0.875,0.16255725057345474
112,MQ14219,0,0,0,0,1,42,1,1,1,1,1,5,1,1,3,1,0.08098862630986337,0.27809283763915144,0.20253164556962025,0.5428571428571428,0.5454545454545454,0.0,0.75,0.2712280812563365
113,KN20603,2,3,0,0,0,36,1,1,1,2,1,5,0,0,0,1,0.0714193043439957,0.4551464778307879,0.02109704641350211,0.45714285714285713,0.32323232323232326,0.4,0.125,0.10946615772074915
114,CR48975,2,4,0,0,3,35,1,1,1,1,1,4,3,1,0,1,0.27247013586792096,0.6520838959402286,0.02531645569620253,0.0,0.5454545454545454,0.0,0.125,0.13686960781728266
115,JI70886,2,1,0,0,3,30,4,1,1,1,0,1,0,0,3,1,0.0662192805839023,0.0,0.1729957805907173,0.3142857142857143,0.7070707070707071,0.2,0.25,0.16919363718004296
116,VF72557,2,3,1,1,3,33,3,1,1,0,1,5,1,0,3,1,0.035306753108896465,0.2099698942799132,0.3037974683544304,1.0,0.9090909090909091,0.0,0.0,0.22062563338110147
117,OX28638,1,0,0,1,3,10,1,1,1,1,1,5,1,1,5,1,0.06028051143140203,0.37846190776247485,0.10548523206751055,1.0,0.7777777777777778,0.0,1.0,0.1609098899567473
118,SK55033,1,1,0,0,0,3,1,0,1,2,1,4,2,0,5,1,0.007021885077684244,0.9272861843750313,0.004219409282700422,0.6857142857142857,0.10101010101010101,0.0,0.0,0.12730149719014475
119,OO88645,0,1,0,1,1,50,1,0,2,1,0,1,1,2,0,1,0.014809704819692538,0.7467918904591873,0.07172995780590717,0.2857142857142857,0.9090909090909091,0.4,0.0,0.08184980300945761
120,YT36855,0,4,0,1,1,40,4,1,1,1,1,4,2,3,5,1,0.013310854239948402,0.0,0.09282700421940929,0.7428571428571429,0.898989898989899,0.0,0.0,0.20136597084255636
121,CW82151,0,1,0,0,0,49,1,1,0,1,1,5,0,2,4,1,0.08602426453936447,0.4684189996099259,0.21518987341772153,0.17142857142857143,0.030303030303030304,0.0,1.0,0.02212497188319399
122,DY22043,3,3,0,0,3,17,1,0,1,1,1,5,2,1,5,2,0.04422885563583317,0.8878486912513378,0.029535864978902954,0.4857142857142857,0.7777777777777778,0.0,0.75,0.11278435102404324
123,SH36774,2,1,0,0,3,25,1,1,1,2,1,5,2,3,2,1,0.1611938386122953,0.28267370800452085,0.5527426160337553,0.2571428571428571,0.7777777777777778,0.0,0.25,0.3185123358282774
124,EM43724,2,2,0,0,0,31,1,0,0,1,1,5,0,0,0,1,0.007504849703735407,0.33561376661565695,0.008438818565400843,0.4857142857142857,0.1111111111111111,0.0,0.0,0.03518579100573572
125,FH85960,0,3,0,2,1,45,1,1,1,0,1,4,0,2,0,1,0.36012140830746775,0.4278812974465148,0.21940928270042195,0.2857142857142857,0.2727272727272727,0.2,0.125,0.18744370034816046
126,XA55993,0,3,0,1,4,54,1,0,0,2,1,5,1,1,0,1,0.015172978123534898,0.5886118362488872,0.07172995780590717,0.5714285714285714,0.26262626262626265,0.0,0.0,0.049651504484345896
127,GO36627,1,0,0,1,1,1,1,1,2,1,2,7,0,1,0,1,0.023818086035192188,0.21884157990018102,0.1518987341772152,0.8285714285714286,0.37373737373737376,0.0,0.0,0.14654598590723003
128,QH48047,0,3,1,0,1,45,3,1,1,0,1,4,1,3,0,1,0.12148848805957953,0.2525579860173433,0.02109704641350211,0.37142857142857144,0.43434343434343436,0.0,0.125,0.10946615772074915
129,RB50392,2,4,0,0,4,32,4,0,0,1,1,3,1,0,0,1,0.07294918636796952,0.0,0.03375527426160337,0.2571428571428571,0.12121212121212122,0.0,0.125,0.0009007259916951339
130,UH65059,1,0,0,0,3,10,1,1,1,1,1,5,0,0,4,1,0.029569916921813176,0.24192596593352736,0.20253164556962025,0.4,0.8282828282828283,0.0,0.0,0.1808073137415723
131,FV21968,1,2,0,0,0,15,1,0,0,1,2,7,0,1,0,1,0.05005649885353545,0.41618907592442567,0.05485232067510549,0.4,0.08080808080808081,0.0,0.875,0.03930071259227754
132,QA87025,3,3,0,0,0,20,1,0,2,1,1,5,0,2,0,1,0.046328827250028744,0.28411398165651475,0.046413502109704644,0.45714285714285713,0.35353535353535354,0.2,0.375,0.0666323331362134
133,TQ13499,2,0,0,2,1,27,1,1,1,1,1,5,0,0,0,2,0.034800848273437025,0.6984627079145037,0.24050632911392406,0.9142857142857143,1.0,0.0,0.0,0.2863890167198856
134,BU44523,0,0,0,0,3,54,4,0,1,2,0,1,0,3,0,2,0.07526181554745928,0.0,0.05485232067510549,0.42857142857142855,0.9191919191919192,0.0,0.125,0.18412550704486635
135,MS41162,3,0,0,0,3,15,4,1,1,2,1,5,0,0,3,1,0.026096332993088067,0.0,0.23628691983122363,0.17142857142857143,0.010101010101010102,0.0,0.0,0.33700680398060046
136,PU25891,3,3,0,0,3,23,1,0,0,1,2,7,0,1,4,1,0.09481213573194544,0.805513047479021,0.24472573839662448,0.14285714285714285,0.8383838383838383,0.0,0.25,0.01856104044240578
137,RB81636,1,4,0,0,1,3,4,0,1,2,1,4,1,0,0,2,0.004627040757130578,0.0,0.008438818565400843,0.05714285714285714,0.050505050505050504,0.0,0.0,0.20964879139124307
